date_time,heart_rate,평소 안정된 심박수,total_max,total_min,total_average
20230722163807,94,,,,
20230722163808,93,,,,
20230722163809,93,,,,
20230722163810,92,,,,
20230722163811,93,,,,
20230722163812,93,,,,
20230722163813,93,,,,
20230722163814,93,,,,
20230722163815,93,,,,
20230722163816,93,,,,
20230722163817,93,,,,
20230722163818,93,,,,
20230722163819,93,,,,
20230722163820,94,,,,
20230722163821,95,,,,
20230722163822,95,,,,
20230722163823,95,,,,
20230722163824,95,,,,
20230722163825,95,,,,
20230722163826,95,,,,
20230722163827,94,,,,
20230722163828,95,,,,
20230722163829,96,,,,
20230722163830,97,,,,
,,,,,
휴식 끝 3세트 시작,,,max,min,average
,,,108,99,101.7916667
20230722163831,99,,,,
20230722163832,100,,,,
20230722163833,100,,,,
20230722163834,100,,,,
20230722163835,100,,,,
20230722163836,100,,,,
20230722163837,100,,,,
20230722163838,100,,,,
20230722163839,100,,,,
20230722163840,101,,,,
20230722163841,101,,,,
20230722163842,101,,,,
20230722163843,101,,,,
20230722163844,101,,,,
20230722163845,101,,,,
20230722163846,101,,,,
20230722163847,101,,,,
20230722163848,101,,,,
20230722163849,101,,,,
20230722163850,101,,,,
20230722163851,101,,,,
20230722163852,100,,,,
20230722163853,100,,,,
20230722163854,100,,,,
20230722163855,100,,,,
20230722163856,100,,,,
20230722163857,100,,,,
20230722163858,100,,,,
20230722163859,100,,,,
20230722163900,101,,,,
20230722163901,101,,,,
20230722163902,101,,,,
20230722163903,101,,,,
20230722163904,102,,,,
20230722163905,102,,,,
20230722163906,102,,,,
20230722163907,103,,,,
20230722163908,104,,,,
20230722163909,104,,,,
20230722163910,104,,,,
20230722163911,105,,,,
20230722163912,105,,,,
20230722163913,106,,,,
20230722163914,106,,,,
20230722163915,106,,,,
20230722163916,107,,,,
20230722163917,107,,,,
20230722163918,108,,,,
,,,,,
3세트 운동 끝 휴식 시작,,,max,min,average
,,,120,95,107.5666667
20230722163919,109,,,,
20230722163920,110,,,,
20230722163921,110,,,,
20230722163922,111,,,,
20230722163923,112,,,,
20230722163924,114,,,,
20230722163925,115,,,,
20230722163926,116,,,,
20230722163927,117,,,,
20230722163928,118,,,,
20230722163929,118,,,,
20230722163930,118,,,,
20230722163931,118,,,,
20230722163932,119,,,,
20230722163933,119,,,,
20230722163934,120,,,,
20230722163935,120,,,,
20230722163936,120,,,,
20230722163937,119,,,,
20230722163938,119,,,,
20230722163939,119,,,,
20230722163940,118,,,,
20230722163941,118,,,,
20230722163942,117,,,,
20230722163943,117,,,,
20230722163944,116,,,,
20230722163945,116,,,,
20230722163946,115,,,,
20230722163947,115,,,,
20230722163948,115,,,,
20230722163949,114,,,,
20230722163950,113,,,,
20230722163951,112,,,,
20230722163952,111,,,,
20230722163953,111,,,,
20230722163954,110,,,,
20230722163955,110,,,,
20230722163956,110,,,,
20230722163957,111,,,,
20230722163958,111,,,,
20230722163959,111,,,,
20230722164000,111,,,,
20230722164001,112,,,,
20230722164002,112,,,,
20230722164003,111,,,,
20230722164004,111,,,,
20230722164005,111,,,,
20230722164006,110,,,,
20230722164007,109,,,,
20230722164008,108,,,,
20230722164009,107,,,,
20230722164012,106,,,,
20230722164013,105,,,,
20230722164014,103,,,,
20230722164015,101,,,,
20230722164016,99,,,,
20230722164017,97,,,,
20230722164018,96,,,,
20230722164019,95,,,,
20230722164020,95,,,,
20230722164021,95,,,,
20230722164022,95,,,,
20230722164023,96,,,,
20230722164024,96,,,,
20230722164025,96,,,,
20230722164026,96,,,,
20230722164027,96,,,,
20230722164028,96,,,,
20230722164029,97,,,,
20230722164030,97,,,,
20230722164031,97,,,,
20230722164032,97,,,,
20230722164033,97,,,,
20230722164034,97,,,,
20230722164035,97,,,,
20230722164036,98,,,,
20230722164037,98,,,,
20230722164038,99,,,,
20230722164039,99,,,,
20230722164040,100,,,,
20230722164041,100,,,,
20230722164042,101,,,,
20230722164043,101,,,,
20230722164044,102,,,,
20230722164045,103,,,,
