date_time,heart_rate,안정 심박도,max,min,average
20230722204806,83,72,114,83,102.1386719
,,,,,
1세트 시작,,,,,
,,,,,
20230722205148,103,,,,
20230722205149,103,,,,
20230722205150,102,,,,
20230722205151,102,,,,
20230722205152,102,,,,
20230722205153,102,,,,
20230722205154,102,,,,
20230722205155,103,,,,
20230722205156,103,,,,
20230722205157,103,,,,
20230722205158,103,,,,
20230722205159,103,,,,
20230722205200,103,,,,
20230722205201,102,,,,
20230722205202,102,,,,
20230722205203,102,,,,
20230722205204,102,,,,
20230722205205,101,,,,
20230722205206,101,,,,
20230722205207,100,,,,
20230722205208,100,,,,
20230722205209,100,,,,
20230722205210,99,,,,
20230722205211,99,,,,
20230722205212,98,,,,
20230722205213,97,,,,
20230722205214,96,,,,
20230722205215,95,,,,
20230722205216,94,,,,
20230722205217,93,,,,
20230722205218,93,,,,
20230722205219,92,,,,
20230722205220,91,,,,
20230722205221,91,,,,
20230722205222,90,,,,
20230722205223,90,,,,
20230722205224,90,,,,
20230722205225,90,,,,
20230722205226,90,,,,
20230722205227,91,,,,
20230722205228,91,,,,
20230722205229,91,,,,
20230722205230,91,,,,
20230722205231,90,,,,
20230722205232,91,,,,
20230722205233,91,,,,
20230722205234,91,,,,
,,,,,
휴식 끝 3세트 운동 시작,,,,,
,,,,,
20230722205235,92,,,,
20230722205236,92,,,,
20230722205237,93,,,,
20230722205238,94,,,,
20230722205239,95,,,,
20230722205240,95,,,,
20230722205241,95,,,,
20230722205242,95,,,,
20230722205243,95,,,,
20230722205244,95,,,,
20230722205245,95,,,,
20230722205246,95,,,,
20230722205247,95,,,,
20230722205248,96,,,,
20230722205249,96,,,,
20230722205250,96,,,,
20230722205251,96,,,,
20230722205252,96,,,,
20230722205253,96,,,,
20230722205254,96,,,,
20230722205255,96,,,,
20230722205256,96,,,,
20230722205257,96,,,,
20230722205258,96,,,,
20230722205259,96,,,,
20230722205300,96,,,,
20230722205301,96,,,,
20230722205302,97,,,,
20230722205303,97,,,,
20230722205304,97,,,,
20230722205305,97,,,,
20230722205306,98,,,,
20230722205307,98,,,,
20230722205308,98,,,,
20230722205309,98,,,,
20230722205310,99,,,,
20230722205311,99,,,,
20230722205312,100,,,,
20230722205313,101,,,,
,,,,,
운동 끝 휴식 시작,,,,,
,,,,,
20230722205314,102,,,,
20230722205315,102,,,,
20230722205316,103,,,,
20230722205317,103,,,,
20230722205318,103,,,,
20230722205319,103,,,,
20230722205320,104,,,,
20230722205321,104,,,,
20230722205322,104,,,,
20230722205323,104,,,,
20230722205324,104,,,,
20230722205325,105,,,,
20230722205326,106,,,,
20230722205327,106,,,,
20230722205328,108,,,,
20230722205329,109,,,,
20230722205330,110,,,,
20230722205331,111,,,,
20230722205332,111,,,,
20230722205333,112,,,,
20230722205334,113,,,,
20230722205335,113,,,,
20230722205336,113,,,,
20230722205337,113,,,,
20230722205338,113,,,,
20230722205339,113,,,,
20230722205340,114,,,,
20230722205340,114,,,,
20230722205341,114,,,,
20230722205342,114,,,,
20230722205343,114,,,,
20230722205344,113,,,,
20230722205345,113,,,,
20230722205346,113,,,,
20230722205347,112,,,,
20230722205348,112,,,,
20230722205349,112,,,,
20230722205350,111,,,,
20230722205351,110,,,,
20230722205352,109,,,,
20230722205353,109,,,,
20230722205354,108,,,,
20230722205355,108,,,,
20230722205356,107,,,,
20230722205357,107,,,,
20230722205358,108,,,,
20230722205359,108,,,,
20230722205400,109,,,,
20230722205401,109,,,,
20230722205402,110,,,,
20230722205403,109,,,,
20230722205404,109,,,,
20230722205405,109,,,,
20230722205406,109,,,,
20230722205407,108,,,,
20230722205408,108,,,,
20230722205409,108,,,,
20230722205410,108,,,,
20230722205411,108,,,,
20230722205412,108,,,,
20230722205413,108,,,,
20230722205414,108,,,,
20230722205415,108,,,,
20230722205416,108,,,,
20230722205417,108,,,,
20230722205418,107,,,,
