date_time,heart_rate

1세트 운동 시작

20230725011810,102.0
20230725011811,101.0
20230725011812,101.0
20230725011813,102.0
20230725011814,102.0
20230725011815,103.0
20230725011816,102.0
20230725011817,101.0

운동 끝 휴식 시작

20230725011818,102.0
20230725011819,101.0
20230725011820,101.0
20230725011821,101.0
20230725011822,102.0
20230725011823,103.0
20230725011824,103.0
20230725011825,104.0
20230725011826,106.0
20230725011827,107.0
20230725011828,108.0
20230725011829,108.0
20230725011830,109.0
20230725011831,110.0
20230725011832,110.0
20230725011833,111.0
20230725011834,112.0
20230725011835,113.0
20230725011836,114.0
20230725011837,114.0
20230725011838,113.0
20230725011839,113.0
20230725011840,112.0
20230725011841,112.0
20230725011842,112.0
20230725011843,111.0
20230725011844,110.0
20230725011845,109.0
20230725011846,109.0
20230725011847,108.0
20230725011848,108.0
20230725011849,107.0
20230725011850,107.0
20230725011851,107.0
20230725011852,107.0
20230725011853,107.0
20230725011854,106.0
20230725011855,106.0
20230725011856,106.0
20230725011857,107.0
20230725011858,107.0
20230725011859,107.0
20230725011900,107.0
20230725011901,107.0
20230725011902,108.0
20230725011903,108.0
20230725011904,107.0
20230725011905,107.0
20230725011906,106.0
20230725011907,106.0
20230725011908,105.0
20230725011909,104.0
20230725011910,103.0
20230725011911,102.0
20230725011912,98.0
20230725011913,95.0
20230725011914,93.0
20230725011915,93.0
20230725011916,93.0
20230725011917,94.0
20230725011918,94.0
20230725011919,94.0
20230725011920,94.0
20230725011921,96.0
20230725011922,100.0
20230725011923,103.0
20230725011924,104.0
20230725011925,105.0
20230725011926,105.0
20230725011927,104.0
20230725011928,103.0
20230725011929,103.0
20230725011930,102.0
20230725011931,102.0
20230725011932,102.0
20230725011933,102.0
20230725011934,102.0
20230725011935,101.0
20230725011936,101.0
20230725011937,100.0
20230725011938,100.0
20230725011939,100.0
20230725011940,100.0
20230725011941,100.0
20230725011942,99.0
20230725011943,99.0
20230725011944,99.0

휴식 끝 4세트 운동 시작

20230725011945,98.0
20230725011946,98.0
20230725011947,98.0
20230725011948,98.0
20230725011949,98.0
20230725011950,98.0
20230725011951,99.0
20230725011952,100.0
20230725011953,100.0
20230725011954,101.0
20230725011955,101.0
20230725011956,100.0
20230725011957,100.0
20230725011958,100.0
20230725011959,99.0
20230725012000,99.0
20230725012001,99.0
20230725012002,100.0
20230725012003,100.0
20230725012004,99.0
20230725012005,100.0
20230725012006,100.0
20230725012007,100.0
20230725012008,100.0
20230725012009,100.0
20230725012010,100.0
20230725012011,100.0
20230725012012,100.0
20230725012013,101.0
20230725012014,101.0
20230725012015,101.0
20230725012016,103.0
20230725012017,103.0
20230725012018,104.0
20230725012019,105.0
20230725012021,105.0
20230725012022,105.0

운동 끝 휴식 시작

20230725012023,106.0
20230725012024,108.0
20230725012025,109.0
20230725012026,110.0
20230725012027,111.0
20230725012028,112.0
20230725012029,113.0
20230725012030,113.0
20230725012031,113.0
20230725012032,115.0
20230725012033,118.0
20230725012034,118.0
20230725012035,117.0
20230725012036,117.0
20230725012037,116.0
20230725012038,116.0
20230725012039,116.0
20230725012040,116.0
20230725012041,117.0
20230725012042,117.0
20230725012043,118.0
20230725012044,119.0
20230725012045,120.0
20230725012045,120.0
20230725012046,120.0
20230725012047,120.0
20230725012048,119.0
20230725012049,118.0
20230725012050,117.0
20230725012051,116.0
20230725012052,115.0
20230725012053,115.0
20230725012054,114.0
20230725012055,113.0
20230725012056,112.0
20230725012057,111.0
20230725012058,110.0
20230725012059,110.0
20230725012100,109.0
20230725012101,110.0
20230725012102,110.0
20230725012103,109.0
20230725012104,109.0
20230725012105,110.0
20230725012106,110.0
20230725012107,111.0
20230725012108,110.0
20230725012109,110.0
20230725012110,109.0
20230725012111,108.0
20230725012112,107.0
20230725012113,106.0
20230725012114,106.0
20230725012115,106.0
20230725012116,106.0
20230725012117,106.0
20230725012118,106.0
20230725012119,106.0
20230725012120,105.0
20230725012121,104.0
20230725012122,103.0
20230725012123,102.0
20230725012124,100.0
20230725012125,99.0
20230725012126,98.0
20230725012127,97.0
20230725012128,96.0
20230725012129,96.0
20230725012130,95.0
20230725012131,94.0
20230725012132,94.0
20230725012133,94.0
20230725012134,94.0
20230725012135,94.0
20230725012136,94.0
20230725012137,94.0
20230725012138,93.0
20230725012139,93.0
20230725012140,93.0
20230725012141,93.0
20230725012142,93.0
20230725012143,93.0
20230725012144,93.0
20230725012145,93.0
20230725012146,94.0
20230725012147,95.0
20230725012148,96.0
20230725012149,96.0
20230725012150,97.0
20230725012151,98.0
20230725012152,99.0
20230725012153,100.0

휴식 끝

20230725012154,100.0
20230725012155,101.0
20230725012156,101.0
