date_time,heart_rate

1세트 운동 시작
20230725212929,108.0
20230725212930,108.0
20230725212931,108.0
20230725212932,108.0
20230725212933,107.0
20230725212934,106.0
20230725212935,106.0
20230725212936,107.0
20230725212937,107.0
20230725212938,108.0

운동 끝 휴식 시작

20230725212939,109.0
20230725212940,109.0
20230725212941,110.0
20230725212942,110.0
20230725212943,111.0
20230725212944,112.0
20230725212945,113.0
20230725212946,113.0
20230725212947,114.0
20230725212948,114.0
20230725212949,115.0
20230725212950,116.0
20230725212951,118.0
20230725212952,119.0
20230725212953,119.0
20230725212954,120.0
20230725212955,121.0
20230725212956,122.0
20230725212957,123.0
20230725212958,123.0
20230725212959,123.0
20230725213000,123.0
20230725213001,123.0
20230725213002,123.0
20230725213003,122.0
20230725213004,121.0
20230725213005,120.0
20230725213006,119.0
20230725213007,119.0
20230725213008,118.0
20230725213009,117.0
20230725213010,117.0
20230725213011,116.0
20230725213012,116.0
20230725213013,116.0
20230725213014,116.0
20230725213015,116.0
20230725213016,116.0
20230725213017,116.0
20230725213018,116.0
20230725213019,116.0
20230725213020,116.0
20230725213021,116.0
20230725213022,116.0
20230725213023,116.0
20230725213024,117.0
20230725213025,116.0
20230725213026,116.0
20230725213027,115.0
20230725213028,114.0
20230725213029,114.0
20230725213030,114.0
20230725213031,115.0
20230725213032,115.0
20230725213033,115.0
20230725213034,115.0
20230725213035,115.0
20230725213036,114.0
20230725213037,113.0
20230725213038,113.0
20230725213039,112.0
20230725213040,111.0
20230725213041,111.0
20230725213042,110.0
20230725213043,111.0
20230725213044,111.0
20230725213045,111.0
20230725213046,111.0
20230725213047,110.0
20230725213048,110.0
20230725213049,110.0
20230725213050,109.0
20230725213051,110.0
20230725213052,110.0
20230725213053,110.0
20230725213054,111.0
20230725213055,111.0
20230725213056,111.0
20230725213057,110.0
20230725213058,110.0
20230725213059,110.0
20230725213100,110.0
20230725213101,109.0
20230725213102,109.0
20230725213103,108.0
20230725213104,108.0
20230725213105,108.0
20230725213106,108.0
20230725213107,108.0
20230725213108,108.0
20230725213109,108.0
20230725213110,107.0
20230725213111,105.0
20230725213112,103.0
20230725213113,102.0
20230725213114,101.0
20230725213115,100.0
20230725213116,99.0
20230725213117,99.0

휴식 끝 4세트 운동 시작

20230725213118,99.0
20230725213119,100.0
20230725213120,102.0
20230725213121,103.0
20230725213122,104.0
20230725213123,105.0
20230725213124,106.0
20230725213125,108.0
20230725213126,111.0
20230725213127,113.0
20230725213128,114.0
20230725213129,115.0
20230725213130,116.0
20230725213131,116.0
20230725213132,116.0
20230725213133,116.0
20230725213134,116.0
20230725213135,116.0
20230725213136,116.0
20230725213137,118.0
20230725213138,117.0
20230725213139,117.0
20230725213140,117.0
20230725213141,117.0
20230725213142,118.0
20230725213143,117.0
20230725213144,118.0
20230725213145,118.0
20230725213146,117.0
20230725213147,117.0
20230725213148,117.0
20230725213149,117.0
20230725213150,117.0
20230725213151,117.0
20230725213152,117.0
20230725213153,117.0
20230725213154,118.0
20230725213155,118.0

운동 끝 휴식 시작

20230725213156,119.0
20230725213157,120.0
20230725213158,120.0
20230725213159,121.0
20230725213200,121.0
20230725213201,122.0
20230725213202,123.0
20230725213203,124.0
20230725213204,125.0
20230725213204,125.0
20230725213205,125.0
20230725213206,125.0
20230725213207,125.0
20230725213208,125.0
20230725213209,125.0
20230725213210,125.0
20230725213211,125.0
20230725213212,125.0
20230725213213,124.0
20230725213214,124.0
20230725213215,123.0
20230725213216,123.0
20230725213217,124.0
20230725213218,124.0
20230725213219,123.0
20230725213220,123.0
20230725213221,122.0
20230725213222,122.0
20230725213223,121.0
20230725213224,121.0
20230725213225,122.0
20230725213226,122.0
20230725213227,122.0
20230725213228,122.0
20230725213229,122.0
20230725213231,122.0
20230725213232,121.0
20230725213233,121.0
20230725213234,121.0
20230725213235,121.0
20230725213236,121.0
20230725213237,121.0
20230725213238,121.0
20230725213239,121.0
20230725213240,121.0
20230725213241,120.0
20230725213242,120.0
20230725213243,119.0
20230725213244,118.0
20230725213245,118.0
20230725213246,118.0
20230725213247,118.0
20230725213248,119.0
20230725213249,119.0
20230725213250,119.0
20230725213251,120.0
20230725213252,120.0
20230725213253,120.0
20230725213254,120.0
20230725213255,119.0
20230725213256,119.0
20230725213257,118.0
20230725213258,118.0
20230725213259,118.0
20230725213300,118.0
20230725213301,118.0
20230725213302,118.0
20230725213303,118.0
20230725213304,118.0
20230725213305,118.0
20230725213306,118.0
20230725213307,117.0
20230725213308,117.0
20230725213309,116.0
20230725213310,116.0
20230725213311,116.0
20230725213312,116.0
20230725213313,116.0
20230725213314,117.0
20230725213315,117.0
20230725213316,117.0
20230725213317,117.0
20230725213318,116.0
20230725213319,115.0
20230725213320,114.0
20230725213321,113.0
20230725213322,113.0
20230725213323,112.0
20230725213324,112.0
20230725213325,111.0
20230725213326,111.0
20230725213327,111.0
20230725213328,111.0
20230725213329,110.0
20230725213330,110.0
20230725213331,109.0
20230725213332,109.0
20230725213333,108.0
20230725213334,108.0
20230725213335,108.0
20230725213336,107.0
20230725213337,107.0
20230725213338,107.0
20230725213339,107.0
20230725213340,107.0
20230725213341,106.0
20230725213342,106.0
20230725213343,106.0
20230725213344,106.0
20230725213345,107.0
20230725213346,107.0
20230725213347,107.0
20230725213348,107.0
20230725213349,107.0
20230725213350,107.0
20230725213351,108.0
20230725213352,108.0
20230725213353,108.0
20230725213354,108.0
20230725213355,108.0
20230725213356,107.0
20230725213357,107.0
20230725213358,106.0
20230725213359,106.0
20230725213400,106.0
20230725213401,106.0
20230725213402,106.0
20230725213403,107.0
20230725213404,106.0
20230725213405,106.0
20230725213406,106.0
20230725213407,105.0
20230725213408,104.0
20230725213409,103.0
20230725213410,102.0
20230725213411,101.0
20230725213412,101.0
20230725213413,100.0

휴식 끝

20230725213414,100.0
20230725213415,100.0
20230725213416,100.0
20230725213417,101.0
20230725213419,101.0
20230725213420,101.0
20230725213421,102.0
20230725213422,103.0
20230725213423,105.0
20230725213424,107.0
20230725213425,108.0
20230725213426,109.0
20230725213427,109.0
20230725213428,108.0
20230725213429,107.0
20230725213430,106.0
20230725213431,105.0
20230725213432,103.0
20230725213433,101.0
20230725213434,99.0
20230725213435,98.0
20230725213436,97.0
20230725213437,96.0
20230725213438,95.0
20230725213439,95.0
20230725213440,94.0
20230725213441,93.0
20230725213442,93.0
20230725213443,93.0
20230725213444,94.0
20230725213445,94.0
20230725213446,94.0
20230725213447,94.0
20230725213448,94.0
20230725213449,93.0
20230725213450,93.0
20230725213451,94.0
20230725213452,94.0
20230725213453,95.0
20230725213454,95.0
20230725213455,96.0
20230725213456,96.0
20230725213457,96.0
20230725213458,98.0
